,Country,HDI.Rank,HDI,CPI,Region
1,Afghanistan,172,0.398,1.5,Asia Pacific
2,,70,0.739,3.1,East EU Cemt Asia
3,,96,0.698,2.9,MENA
4,,148,0.486,2,SSA
5,Argentina,45,0.797,3,Americas
6,,86,0.716,2.6,East EU Cemt Asia
7,,2,0.929,8.8,Asia Pacific
8,,19,0.885,7.8,EU W. Europe
9,,91,0.7,2.4,East EU Cemt Asia
10,,53,0.771,7.3,Americas
11,,42,0.806,5.1,MENA
12,,146,0.5,2.7,Asia Pacific
13,Barbados,47,0.793,7.8,Americas
14,,65,0.756,2.4,East EU Cemt Asia
15,,18,0.886,7.5,EU W. Europe
16,,167,0.427,3,SSA
17,Bhutan,141,0.522,5.7,Asia Pacific
18,,108,0.663,2.8,Americas
19,,74,0.733,3.2,East EU Cemt Asia
20,Botswana,118,0.633,6.1,SSA
21,Brazil,84,0.718,3.8,Americas
22,Britain,28,0.863,7.8,EU W. Europe
23,,55,0.771,3.3,EU W. Europe
24,,181,0.331,3,SSA
25,,185,0.316,1.9,SSA
26,,139,0.523,2.1,Asia Pacific
27,,150,0.482,2.5,SSA
28,,6,0.908,8.7,Americas
29,Cape Verde,133,0.568,5.5,SSA
30,,179,0.343,2.2,SSA
31,,183,0.328,2,SSA
32,,44,0.805,7.2,Americas
33,China,101,0.687,3.6,Asia Pacific
34,,87,0.71,3.4,Americas
35,,163,0.433,2.4,SSA
36,Congo,187,0.286,2,SSA
37,,137,0.533,2.2,SSA
38,,69,0.744,4.8,Americas
39,,170,0.4,2.2,SSA
40,,46,0.796,4,East EU Cemt Asia
41,,51,0.776,4.2,Americas
42,,31,0.84,6.3,EU W. Europe
43,,27,0.865,4.4,EU W. Europe
44,,16,0.895,9.4,EU W. Europe
45,,165,0.43,3,SSA
46,,81,0.724,5.2,Americas
47,,98,0.689,2.6,Americas
48,,83,0.72,2.7,Americas
49,,113,0.644,2.9,MENA
50,,105,0.674,3.4,Americas
51,,136,0.537,1.9,SSA
52,,177,0.349,2.5,SSA
53,,34,0.835,6.4,EU W. Europe
54,,174,0.363,2.7,SSA
55,,22,0.882,9.4,EU W. Europe
56,France,20,0.884,7,EU W. Europe
57,,106,0.674,3,SSA
58,,168,0.42,3.5,SSA
59,,75,0.733,4.1,East EU Cemt Asia
60,Germany,9,0.905,8,EU W. Europe
61,,135,0.541,3.9,SSA
62,Greece,29,0.861,3.4,EU W. Europe
63,,131,0.574,2.7,Americas
64,,178,0.344,2.1,SSA
65,,176,0.353,2.2,SSA
66,,117,0.633,2.5,Americas
67,,158,0.454,1.8,Americas
